2015-01-19 21:27:36 - PHP Notice:  Error: Could not load template C:\xampp\htdocs\congcong/view/theme/default/template/common/column_left.tpl! in C:\xampp\htdocs\congcong\system\engine\loader.php on line 46
2015-01-19 21:35:54 - PHP Notice:  Error: Could not load template C:\xampp\htdocs\congcong/admin/view/template/default/template/common/column_left.tpl! in C:\xampp\htdocs\congcong\system\engine\loader.php on line 46
2015-01-19 21:38:45 - PHP Notice:  Error: Could not load template C:\xampp\htdocs\congcong/admin/viewdefault/template/common/column_left.tpl! in C:\xampp\htdocs\congcong\system\engine\loader.php on line 46
2015-01-19 21:38:52 - PHP Notice:  Error: Could not load template C:\xampp\htdocs\congcong/admin/view/default/template/common/column_left.tpl! in C:\xampp\htdocs\congcong\system\engine\loader.php on line 46
2015-01-19 21:50:44 - PHP Notice:  Error: Could not load template C:\xampp\htdocs\congcong/catalog/view/theme/default/template/default/template/common/column_left.tpl! in C:\xampp\htdocs\congcong\system\engine\loader.php on line 46
2015-01-19 21:51:55 - PHP Notice:  Error: Table 'congcong.cc_manufacturer' doesn't exist<br />Error No: 1146<br />SELECT DISTINCT *, pd.name AS name, p.image, m.name AS manufacturer, (SELECT price FROM cc_product_discount pd2 WHERE pd2.product_id = p.product_id AND pd2.customer_group_id = '1' AND pd2.quantity = '1' AND ((pd2.date_start = '0000-00-00' OR pd2.date_start < NOW()) AND (pd2.date_end = '0000-00-00' OR pd2.date_end > NOW())) ORDER BY pd2.priority ASC, pd2.price ASC LIMIT 1) AS discount, (SELECT price FROM cc_product_special ps WHERE ps.product_id = p.product_id AND ps.customer_group_id = '1' AND ((ps.date_start = '0000-00-00' OR ps.date_start < NOW()) AND (ps.date_end = '0000-00-00' OR ps.date_end > NOW())) ORDER BY ps.priority ASC, ps.price ASC LIMIT 1) AS special, (SELECT points FROM cc_product_reward pr WHERE pr.product_id = p.product_id AND customer_group_id = '1') AS reward, (SELECT ss.name FROM cc_stock_status ss WHERE ss.stock_status_id = p.stock_status_id AND ss.language_id = '1') AS stock_status, (SELECT wcd.unit FROM cc_weight_class_description wcd WHERE p.weight_class_id = wcd.weight_class_id AND wcd.language_id = '1') AS weight_class, (SELECT lcd.unit FROM cc_length_class_description lcd WHERE p.length_class_id = lcd.length_class_id AND lcd.language_id = '1') AS length_class, (SELECT AVG(rating) AS total FROM cc_review r1 WHERE r1.product_id = p.product_id AND r1.status = '1' GROUP BY r1.product_id) AS rating, (SELECT COUNT(*) AS total FROM cc_review r2 WHERE r2.product_id = p.product_id AND r2.status = '1' GROUP BY r2.product_id) AS reviews, p.sort_order FROM cc_product p LEFT JOIN cc_product_description pd ON (p.product_id = pd.product_id) LEFT JOIN cc_product_to_store p2s ON (p.product_id = p2s.product_id) LEFT JOIN cc_manufacturer m ON (p.manufacturer_id = m.manufacturer_id) WHERE p.product_id = '43' AND pd.language_id = '1' AND p.status = '1' AND p.date_available <= NOW() AND p2s.store_id = '0' in C:\xampp\htdocs\congcong\system\library\db\mysqli.php on line 40
2015-01-19 21:51:55 - PHP Notice:  Trying to get property of non-object in C:\xampp\htdocs\congcong\catalog\model\catalog\product.php on line 10
2015-01-19 21:51:55 - PHP Notice:  Error: Table 'congcong.cc_manufacturer' doesn't exist<br />Error No: 1146<br />SELECT DISTINCT *, pd.name AS name, p.image, m.name AS manufacturer, (SELECT price FROM cc_product_discount pd2 WHERE pd2.product_id = p.product_id AND pd2.customer_group_id = '1' AND pd2.quantity = '1' AND ((pd2.date_start = '0000-00-00' OR pd2.date_start < NOW()) AND (pd2.date_end = '0000-00-00' OR pd2.date_end > NOW())) ORDER BY pd2.priority ASC, pd2.price ASC LIMIT 1) AS discount, (SELECT price FROM cc_product_special ps WHERE ps.product_id = p.product_id AND ps.customer_group_id = '1' AND ((ps.date_start = '0000-00-00' OR ps.date_start < NOW()) AND (ps.date_end = '0000-00-00' OR ps.date_end > NOW())) ORDER BY ps.priority ASC, ps.price ASC LIMIT 1) AS special, (SELECT points FROM cc_product_reward pr WHERE pr.product_id = p.product_id AND customer_group_id = '1') AS reward, (SELECT ss.name FROM cc_stock_status ss WHERE ss.stock_status_id = p.stock_status_id AND ss.language_id = '1') AS stock_status, (SELECT wcd.unit FROM cc_weight_class_description wcd WHERE p.weight_class_id = wcd.weight_class_id AND wcd.language_id = '1') AS weight_class, (SELECT lcd.unit FROM cc_length_class_description lcd WHERE p.length_class_id = lcd.length_class_id AND lcd.language_id = '1') AS length_class, (SELECT AVG(rating) AS total FROM cc_review r1 WHERE r1.product_id = p.product_id AND r1.status = '1' GROUP BY r1.product_id) AS rating, (SELECT COUNT(*) AS total FROM cc_review r2 WHERE r2.product_id = p.product_id AND r2.status = '1' GROUP BY r2.product_id) AS reviews, p.sort_order FROM cc_product p LEFT JOIN cc_product_description pd ON (p.product_id = pd.product_id) LEFT JOIN cc_product_to_store p2s ON (p.product_id = p2s.product_id) LEFT JOIN cc_manufacturer m ON (p.manufacturer_id = m.manufacturer_id) WHERE p.product_id = '40' AND pd.language_id = '1' AND p.status = '1' AND p.date_available <= NOW() AND p2s.store_id = '0' in C:\xampp\htdocs\congcong\system\library\db\mysqli.php on line 40
2015-01-19 21:51:55 - PHP Notice:  Trying to get property of non-object in C:\xampp\htdocs\congcong\catalog\model\catalog\product.php on line 10
2015-01-19 21:51:55 - PHP Notice:  Error: Table 'congcong.cc_manufacturer' doesn't exist<br />Error No: 1146<br />SELECT DISTINCT *, pd.name AS name, p.image, m.name AS manufacturer, (SELECT price FROM cc_product_discount pd2 WHERE pd2.product_id = p.product_id AND pd2.customer_group_id = '1' AND pd2.quantity = '1' AND ((pd2.date_start = '0000-00-00' OR pd2.date_start < NOW()) AND (pd2.date_end = '0000-00-00' OR pd2.date_end > NOW())) ORDER BY pd2.priority ASC, pd2.price ASC LIMIT 1) AS discount, (SELECT price FROM cc_product_special ps WHERE ps.product_id = p.product_id AND ps.customer_group_id = '1' AND ((ps.date_start = '0000-00-00' OR ps.date_start < NOW()) AND (ps.date_end = '0000-00-00' OR ps.date_end > NOW())) ORDER BY ps.priority ASC, ps.price ASC LIMIT 1) AS special, (SELECT points FROM cc_product_reward pr WHERE pr.product_id = p.product_id AND customer_group_id = '1') AS reward, (SELECT ss.name FROM cc_stock_status ss WHERE ss.stock_status_id = p.stock_status_id AND ss.language_id = '1') AS stock_status, (SELECT wcd.unit FROM cc_weight_class_description wcd WHERE p.weight_class_id = wcd.weight_class_id AND wcd.language_id = '1') AS weight_class, (SELECT lcd.unit FROM cc_length_class_description lcd WHERE p.length_class_id = lcd.length_class_id AND lcd.language_id = '1') AS length_class, (SELECT AVG(rating) AS total FROM cc_review r1 WHERE r1.product_id = p.product_id AND r1.status = '1' GROUP BY r1.product_id) AS rating, (SELECT COUNT(*) AS total FROM cc_review r2 WHERE r2.product_id = p.product_id AND r2.status = '1' GROUP BY r2.product_id) AS reviews, p.sort_order FROM cc_product p LEFT JOIN cc_product_description pd ON (p.product_id = pd.product_id) LEFT JOIN cc_product_to_store p2s ON (p.product_id = p2s.product_id) LEFT JOIN cc_manufacturer m ON (p.manufacturer_id = m.manufacturer_id) WHERE p.product_id = '42' AND pd.language_id = '1' AND p.status = '1' AND p.date_available <= NOW() AND p2s.store_id = '0' in C:\xampp\htdocs\congcong\system\library\db\mysqli.php on line 40
2015-01-19 21:51:55 - PHP Notice:  Trying to get property of non-object in C:\xampp\htdocs\congcong\catalog\model\catalog\product.php on line 10
